Source,Target,Type,id,label,timeset,weight
1.0,156.0,Directed,28,,,1.0
1.0,14.0,Directed,29,,,1.0
2.0,142.0,Directed,30,,,1.0
2.0,68.0,Directed,31,,,1.0
2.0,13.0,Directed,32,,,1.0
2.0,130.0,Directed,33,,,1.0
4.0,33.0,Directed,34,,,1.0
4.0,24.0,Directed,35,,,1.0
4.0,156.0,Directed,36,,,1.0
4.0,117.0,Directed,37,,,1.0
4.0,98.0,Directed,38,,,1.0
4.0,102.0,Directed,39,,,1.0
4.0,142.0,Directed,40,,,1.0
7.0,24.0,Directed,41,,,1.0
7.0,136.0,Directed,42,,,1.0
9.0,90.0,Directed,43,,,1.0
10.0,114.0,Directed,44,,,1.0
10.0,25.0,Directed,45,,,1.0
10.0,110.0,Directed,46,,,1.0
10.0,53.0,Directed,47,,,1.0
10.0,78.0,Directed,48,,,1.0
10.0,128.0,Directed,49,,,1.0
10.0,72.0,Directed,50,,,1.0
10.0,95.0,Directed,51,,,1.0
10.0,27.0,Directed,52,,,1.0
10.0,120.0,Directed,53,,,1.0
10.0,31.0,Directed,54,,,1.0
11.0,67.0,Directed,55,,,1.0
12.0,32.0,Directed,56,,,1.0
13.0,2.0,Directed,57,,,1.0
14.0,156.0,Directed,58,,,1.0
14.0,1.0,Directed,59,,,1.0
15.0,113.0,Directed,60,,,1.0
15.0,23.0,Directed,61,,,1.0
15.0,119.0,Directed,62,,,1.0
15.0,17.0,Directed,63,,,1.0
16.0,118.0,Directed,64,,,1.0
16.0,79.0,Directed,65,,,1.0
17.0,33.0,Directed,66,,,1.0
17.0,113.0,Directed,67,,,1.0
17.0,23.0,Directed,68,,,1.0
17.0,15.0,Directed,69,,,1.0
18.0,84.0,Directed,70,,,1.0
20.0,75.0,Directed,71,,,1.0
20.0,109.0,Directed,72,,,1.0
21.0,30.0,Directed,73,,,1.0
22.0,146.0,Directed,74,,,1.0
23.0,113.0,Directed,75,,,1.0
23.0,15.0,Directed,76,,,1.0
23.0,17.0,Directed,77,,,1.0
23.0,119.0,Directed,78,,,1.0
25.0,27.0,Directed,79,,,1.0
25.0,78.0,Directed,80,,,1.0
25.0,10.0,Directed,81,,,1.0
25.0,31.0,Directed,82,,,1.0
25.0,120.0,Directed,83,,,1.0
25.0,53.0,Directed,84,,,1.0
25.0,114.0,Directed,85,,,1.0
25.0,110.0,Directed,86,,,1.0
26.0,30.0,Directed,87,,,1.0
27.0,25.0,Directed,88,,,1.0
27.0,120.0,Directed,89,,,1.0
27.0,110.0,Directed,90,,,1.0
27.0,53.0,Directed,91,,,1.0
27.0,114.0,Directed,92,,,1.0
27.0,10.0,Directed,93,,,1.0
27.0,78.0,Directed,94,,,1.0
27.0,31.0,Directed,95,,,1.0
30.0,21.0,Directed,96,,,1.0
30.0,108.0,Directed,97,,,1.0
31.0,10.0,Directed,98,,,1.0
31.0,110.0,Directed,99,,,1.0
31.0,114.0,Directed,100,,,1.0
31.0,120.0,Directed,101,,,1.0
31.0,25.0,Directed,102,,,1.0
32.0,58.0,Directed,103,,,1.0
35.0,126.0,Directed,104,,,1.0
37.0,36.0,Directed,105,,,1.0
37.0,58.0,Directed,106,,,1.0
37.0,95.0,Directed,107,,,1.0
39.0,48.0,Directed,108,,,1.0
39.0,109.0,Directed,109,,,1.0
41.0,126.0,Directed,110,,,1.0
43.0,68.0,Directed,111,,,1.0
43.0,138.0,Directed,112,,,1.0
44.0,68.0,Directed,113,,,1.0
48.0,109.0,Directed,114,,,1.0
48.0,39.0,Directed,115,,,1.0
48.0,156.0,Directed,116,,,1.0
50.0,139.0,Directed,117,,,1.0
50.0,138.0,Directed,118,,,1.0
50.0,102.0,Directed,119,,,1.0
50.0,68.0,Directed,120,,,1.0
51.0,128.0,Directed,121,,,1.0
52.0,121.0,Directed,122,,,1.0
52.0,87.0,Directed,123,,,1.0
52.0,86.0,Directed,124,,,1.0
53.0,36.0,Directed,125,,,1.0
53.0,10.0,Directed,126,,,1.0
53.0,27.0,Directed,127,,,1.0
53.0,25.0,Directed,128,,,1.0
53.0,114.0,Directed,129,,,1.0
53.0,120.0,Directed,130,,,1.0
53.0,78.0,Directed,131,,,1.0
58.0,32.0,Directed,132,,,1.0
58.0,72.0,Directed,133,,,1.0
58.0,36.0,Directed,134,,,1.0
58.0,10.0,Directed,135,,,1.0
58.0,37.0,Directed,136,,,1.0
63.0,60.0,Directed,137,,,1.0
67.0,11.0,Directed,138,,,1.0
68.0,44.0,Directed,139,,,1.0
68.0,50.0,Directed,140,,,1.0
68.0,138.0,Directed,141,,,1.0
68.0,43.0,Directed,142,,,1.0
68.0,2.0,Directed,143,,,1.0
68.0,71.0,Directed,144,,,1.0
71.0,68.0,Directed,145,,,1.0
72.0,36.0,Directed,146,,,1.0
72.0,10.0,Directed,147,,,1.0
73.0,76.0,Directed,148,,,1.0
75.0,39.0,Directed,149,,,1.0
75.0,109.0,Directed,150,,,1.0
75.0,20.0,Directed,151,,,1.0
76.0,73.0,Directed,152,,,1.0
78.0,36.0,Directed,153,,,1.0
78.0,79.0,Directed,154,,,1.0
78.0,10.0,Directed,155,,,1.0
78.0,120.0,Directed,156,,,1.0
78.0,53.0,Directed,157,,,1.0
79.0,16.0,Directed,158,,,1.0
79.0,126.0,Directed,159,,,1.0
82.0,94.0,Directed,160,,,1.0
82.0,97.0,Directed,161,,,1.0
82.0,142.0,Directed,162,,,1.0
85.0,102.0,Directed,163,,,1.0
86.0,87.0,Directed,164,,,1.0
86.0,52.0,Directed,165,,,1.0
86.0,8.0,Directed,166,,,1.0
86.0,121.0,Directed,167,,,1.0
87.0,89.0,Directed,168,,,1.0
87.0,121.0,Directed,169,,,1.0
87.0,52.0,Directed,170,,,1.0
87.0,86.0,Directed,171,,,1.0
89.0,87.0,Directed,172,,,1.0
89.0,86.0,Directed,173,,,1.0
90.0,109.0,Directed,174,,,1.0
90.0,9.0,Directed,175,,,1.0
91.0,128.0,Directed,176,,,1.0
91.0,102.0,Directed,177,,,1.0
94.0,82.0,Directed,178,,,1.0
94.0,125.0,Directed,179,,,1.0
94.0,97.0,Directed,180,,,1.0
94.0,145.0,Directed,181,,,1.0
94.0,105.0,Directed,182,,,1.0
94.0,100.0,Directed,183,,,1.0
94.0,129.0,Directed,184,,,1.0
94.0,112.0,Directed,185,,,1.0
95.0,10.0,Directed,186,,,1.0
97.0,145.0,Directed,187,,,1.0
97.0,100.0,Directed,188,,,1.0
97.0,125.0,Directed,189,,,1.0
97.0,129.0,Directed,190,,,1.0
97.0,94.0,Directed,191,,,1.0
97.0,105.0,Directed,192,,,1.0
97.0,82.0,Directed,193,,,1.0
97.0,112.0,Directed,194,,,1.0
98.0,4.0,Directed,195,,,1.0
98.0,117.0,Directed,196,,,1.0
100.0,97.0,Directed,197,,,1.0
100.0,125.0,Directed,198,,,1.0
100.0,145.0,Directed,199,,,1.0
100.0,94.0,Directed,200,,,1.0
102.0,91.0,Directed,201,,,1.0
102.0,54.0,Directed,202,,,1.0
102.0,117.0,Directed,203,,,1.0
103.0,77.0,Directed,204,,,1.0
103.0,24.0,Directed,205,,,1.0
105.0,94.0,Directed,206,,,1.0
106.0,150.0,Directed,207,,,1.0
108.0,30.0,Directed,208,,,1.0
108.0,56.0,Directed,209,,,1.0
109.0,48.0,Directed,210,,,1.0
109.0,75.0,Directed,211,,,1.0
109.0,39.0,Directed,212,,,1.0
109.0,90.0,Directed,213,,,1.0
109.0,20.0,Directed,214,,,1.0
110.0,27.0,Directed,215,,,1.0
110.0,25.0,Directed,216,,,1.0
110.0,31.0,Directed,217,,,1.0
110.0,114.0,Directed,218,,,1.0
110.0,78.0,Directed,219,,,1.0
111.0,35.0,Directed,220,,,1.0
112.0,94.0,Directed,221,,,1.0
112.0,105.0,Directed,222,,,1.0
112.0,97.0,Directed,223,,,1.0
113.0,15.0,Directed,224,,,1.0
113.0,23.0,Directed,225,,,1.0
113.0,17.0,Directed,226,,,1.0
113.0,119.0,Directed,227,,,1.0
113.0,33.0,Directed,228,,,1.0
114.0,25.0,Directed,229,,,1.0
114.0,36.0,Directed,230,,,1.0
114.0,72.0,Directed,231,,,1.0
114.0,110.0,Directed,232,,,1.0
114.0,78.0,Directed,233,,,1.0
114.0,10.0,Directed,234,,,1.0
114.0,31.0,Directed,235,,,1.0
114.0,27.0,Directed,236,,,1.0
114.0,53.0,Directed,237,,,1.0
116.0,155.0,Directed,238,,,1.0
117.0,142.0,Directed,239,,,1.0
117.0,94.0,Directed,240,,,1.0
117.0,102.0,Directed,241,,,1.0
117.0,4.0,Directed,242,,,1.0
117.0,156.0,Directed,243,,,1.0
117.0,24.0,Directed,244,,,1.0
117.0,98.0,Directed,245,,,1.0
118.0,16.0,Directed,246,,,1.0
119.0,23.0,Directed,247,,,1.0
119.0,113.0,Directed,248,,,1.0
119.0,15.0,Directed,249,,,1.0
120.0,27.0,Directed,250,,,1.0
120.0,72.0,Directed,251,,,1.0
120.0,10.0,Directed,252,,,1.0
120.0,31.0,Directed,253,,,1.0
120.0,79.0,Directed,254,,,1.0
120.0,78.0,Directed,255,,,1.0
120.0,142.0,Directed,256,,,1.0
120.0,53.0,Directed,257,,,1.0
120.0,114.0,Directed,258,,,1.0
120.0,36.0,Directed,259,,,1.0
120.0,25.0,Directed,260,,,1.0
121.0,52.0,Directed,261,,,1.0
121.0,86.0,Directed,262,,,1.0
121.0,87.0,Directed,263,,,1.0
121.0,89.0,Directed,264,,,1.0
122.0,36.0,Directed,265,,,1.0
122.0,123.0,Directed,266,,,1.0
124.0,126.0,Directed,267,,,1.0
125.0,112.0,Directed,268,,,1.0
125.0,145.0,Directed,269,,,1.0
125.0,100.0,Directed,270,,,1.0
125.0,129.0,Directed,271,,,1.0
125.0,94.0,Directed,272,,,1.0
125.0,97.0,Directed,273,,,1.0
126.0,35.0,Directed,274,,,1.0
126.0,79.0,Directed,275,,,1.0
126.0,41.0,Directed,276,,,1.0
127.0,54.0,Directed,277,,,1.0
127.0,71.0,Directed,278,,,1.0
128.0,10.0,Directed,279,,,1.0
129.0,97.0,Directed,280,,,1.0
129.0,94.0,Directed,281,,,1.0
129.0,145.0,Directed,282,,,1.0
130.0,2.0,Directed,283,,,1.0
136.0,7.0,Directed,284,,,1.0
137.0,79.0,Directed,285,,,1.0
138.0,102.0,Directed,286,,,1.0
138.0,156.0,Directed,287,,,1.0
138.0,84.0,Directed,288,,,1.0
138.0,50.0,Directed,289,,,1.0
138.0,68.0,Directed,290,,,1.0
138.0,54.0,Directed,291,,,1.0
139.0,138.0,Directed,292,,,1.0
140.0,89.0,Directed,293,,,1.0
140.0,52.0,Directed,294,,,1.0
140.0,121.0,Directed,295,,,1.0
140.0,87.0,Directed,296,,,1.0
140.0,86.0,Directed,297,,,1.0
142.0,82.0,Directed,298,,,1.0
142.0,2.0,Directed,299,,,1.0
142.0,4.0,Directed,300,,,1.0
142.0,120.0,Directed,301,,,1.0
143.0,50.0,Directed,302,,,1.0
143.0,68.0,Directed,303,,,1.0
143.0,102.0,Directed,304,,,1.0
144.0,36.0,Directed,305,,,1.0
145.0,82.0,Directed,306,,,1.0
145.0,125.0,Directed,307,,,1.0
145.0,129.0,Directed,308,,,1.0
145.0,94.0,Directed,309,,,1.0
145.0,97.0,Directed,310,,,1.0
147.0,155.0,Directed,311,,,1.0
150.0,106.0,Directed,312,,,1.0
151.0,152.0,Directed,313,,,1.0
151.0,102.0,Directed,314,,,1.0
152.0,115.0,Directed,315,,,1.0
152.0,50.0,Directed,316,,,1.0
152.0,151.0,Directed,317,,,1.0
152.0,123.0,Directed,318,,,1.0
155.0,116.0,Directed,319,,,1.0
156.0,117.0,Directed,320,,,1.0
156.0,14.0,Directed,321,,,1.0
156.0,4.0,Directed,322,,,1.0
156.0,24.0,Directed,323,,,1.0
156.0,1.0,Directed,324,,,1.0
